threshold,accuracy,precision,recall,f1
0.35,0.8616949152542372,0.5423956931359354,0.8556263269639066,0.6639209225700164
0.36,0.8657627118644068,0.5523012552301255,0.8407643312101911,0.6666666666666666
0.37,0.8691525423728813,0.5609756097560976,0.8301486199575372,0.6695205479452054
0.38,0.868135593220339,0.5601173020527859,0.8110403397027601,0.6626192541196878
0.39,0.867457627118644,0.5595238095238095,0.7983014861995754,0.657917760279965
0.4,0.8637288135593221,0.5525114155251142,0.7707006369426752,0.6436170212765957
0.41000000000000003,0.8583050847457627,0.5417322834645669,0.7303609341825902,0.6220614828209765
0.42000000000000004,0.8549152542372881,0.5344,0.7091295116772823,0.6094890510948905
0.43000000000000005,0.8511864406779661,0.5263157894736842,0.6794055201698513,0.593141797961075
0.44000000000000006,0.8471186440677966,0.5168918918918919,0.6496815286624203,0.5757290686735654
0.45000000000000007,0.8454237288135593,0.5128644939965694,0.6348195329087049,0.5673624288425048
0.4600000000000001,0.8413559322033898,0.5026548672566372,0.6029723991507431,0.5482625482625483
0.4700000000000001,0.8345762711864407,0.48417132216014896,0.5520169851380042,0.5158730158730159
0.4800000000000001,0.8342372881355932,0.48282442748091603,0.5371549893842887,0.5085427135678392
0.4900000000000001,0.8338983050847457,0.4816955684007707,0.5307855626326964,0.5050505050505051
0.5000000000000001,0.831864406779661,0.4756335282651072,0.5180467091295117,0.4959349593495935
0.5100000000000001,0.8284745762711865,0.46464646464646464,0.4883227176220807,0.47619047619047616
0.5200000000000001,0.8254237288135593,0.45397489539748953,0.4607218683651805,0.45732349841938885
0.5300000000000001,0.8166101694915254,0.4225663716814159,0.40552016985138006,0.41386782231852653
0.5400000000000001,0.8230508474576271,0.43672456575682383,0.37367303609341823,0.40274599542334094
0.5500000000000002,0.8277966101694916,0.4524421593830334,0.37367303609341823,0.40930232558139534
