y_true,y_pred,proba
1,1,0.5152198300268154
1,1,0.5038059228580507
1,1,0.5026531646923339
1,1,0.5045521128857835
1,1,0.5066161569611582
1,1,0.4987926469561658
1,1,0.4159730302408281
1,0,0.2861259410127576
1,0,0.2111102074222237
0,0,0.2018116359551349
0,0,0.2482692593614373
0,0,0.20435838545689897
0,0,0.2131085571923656
0,0,0.0982492851561301
0,0,0.08550839659072004
0,0,0.08391707500606088
0,0,0.08850407863842531
0,0,0.08495373499632788
0,0,0.083269704201933
0,0,0.07981891989433593
0,0,0.07317059131218709
0,0,0.08548103201866854
0,0,0.0925799313335168
0,0,0.08386741403175346
0,0,0.08112106181925813
0,0,0.06681531513037545
0,0,0.07578449779958049
0,0,0.06978635873541805
0,0,0.0724689413377628
0,0,0.06623996801529822
0,0,0.06154952302118408
0,0,0.06787933336155418
0,0,0.06459811280492231
0,0,0.0654222880109108
0,0,0.06442906954454833
0,0,0.06544660027464426
0,0,0.06505980983454612
0,0,0.06192639665911971
0,0,0.06260573295820927
0,0,0.06584448035702381
0,0,0.06694222084040628
0,0,0.06247026276085299
0,0,0.05771073098722755
0,0,0.055354268485435704
0,0,0.05696440575986652
0,0,0.0537393139431217
0,0,0.058267935456792916
0,0,0.05871707767503085
0,0,0.05626977884112596
0,0,0.05597623555180877
0,0,0.05476470472943094
0,0,0.05231953782848352
0,0,0.052837808704864486
0,0,0.05222462914858904
0,0,0.05335563510491542
0,0,0.0533710342841989
0,0,0.05371418794261627
0,0,0.0552160065553219
0,0,0.057318061412063415
0,0,0.058388194365111654
0,0,0.05507826580320965
0,0,0.0565055825032917
0,0,0.05511151315035513
0,0,0.05724021165653059
0,0,0.058268983651631245
0,0,0.05833475435824849
0,0,0.0583247585173253
0,0,0.057649598475932214
0,0,0.058632301273083914
0,0,0.05780844377001635
0,0,0.05637576586253453
0,0,0.05966529527415057
0,0,0.06174949534719537
0,0,0.05782914715043827
0,0,0.057063550730027515
0,0,0.05824364729865239
0,0,0.05436840761071423
0,0,0.05401403169157844
0,0,0.05888354307127307
0,0,0.05779084323767554
0,0,0.058022781616381136
0,0,0.06125911935197813
0,0,0.05878613775448141
0,0,0.0583329731162356
0,0,0.057567497077659055
0,0,0.06121644970407737
0,0,0.060217473284629244
0,0,0.05843714957220021
0,0,0.0607791007005731
0,0,0.05690217502749077
