modelo,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
Decision Tree,0.9053916581892166,0.7707061900610288,0.9822222222222222,0.8637029799706888,0.7376271186440678,0.3558515699333968,0.7940552016985138,0.4914586070959264
Random Forest,0.916920990166158,0.8018433179723502,0.9666666666666667,0.8765743073047859,0.7935593220338983,0.43416030534351147,0.9660297239915074,0.5990783410138248
SVM,0.8141742963716514,0.8098591549295775,0.5111111111111111,0.6267029972752044,0.8213559322033899,0.4339622641509434,0.39065817409766457,0.4111731843575419
MLP,0.7595795184808409,0.920704845814978,0.23222222222222222,0.37089618456078083,0.8264406779661017,0.44321329639889195,0.33970276008492567,0.38461538461538464
