"Line#","Date","Solar Radiation (S-LIB 21559981:22047692-1),W/m²,21559981"
"144","25-06-20 18:50:00 -0500","1"
"145","25-06-20 18:55:00 -0500","1"
"146","25-06-20 19:00:00 -0500","1"
"147","25-06-20 19:05:00 -0500","1"
"148","25-06-20 19:10:00 -0500","1"
"149","25-06-20 19:15:00 -0500","1"
"150","25-06-20 19:20:00 -0500","1"
"151","25-06-20 19:25:00 -0500","1"
"152","25-06-20 19:30:00 -0500","1"
"153","25-06-20 19:35:00 -0500","1"
"154","25-06-20 19:40:00 -0500","1"
"155","25-06-20 19:45:00 -0500","1"
"156","25-06-20 19:50:00 -0500","1"
"157","25-06-20 19:55:00 -0500","1"
"158","25-06-20 20:00:00 -0500","1"
"159","25-06-20 20:05:00 -0500","1"
"160","25-06-20 20:10:00 -0500","1"
"161","25-06-20 20:15:00 -0500","1"
"162","25-06-20 20:20:00 -0500","1"
"163","25-06-20 20:25:00 -0500","1"
"164","25-06-20 20:30:00 -0500","1"
"165","25-06-20 20:35:00 -0500","1"
"166","25-06-20 20:40:00 -0500","1"
"167","25-06-20 20:45:00 -0500","1"
"168","25-06-20 20:50:00 -0500","1"
"169","25-06-20 20:55:00 -0500","1"
"170","25-06-20 21:00:00 -0500","1"
"171","25-06-20 21:05:00 -0500","1"
"172","25-06-20 21:10:00 -0500","1"
"173","25-06-20 21:15:00 -0500","1"
"174","25-06-20 21:20:00 -0500","1"
"175","25-06-20 21:25:00 -0500","1"
"176","25-06-20 21:30:00 -0500","1"
"177","25-06-20 21:35:00 -0500","1"
"178","25-06-20 21:40:00 -0500","1"
"179","25-06-20 21:45:00 -0500","1"
"180","25-06-20 21:50:00 -0500","1"
"181","25-06-20 21:55:00 -0500","1"
"182","25-06-20 22:00:00 -0500","1"
"183","25-06-20 22:05:00 -0500","1"
"184","25-06-20 22:10:00 -0500","1"
"185","25-06-20 22:15:00 -0500","1"
"186","25-06-20 22:20:00 -0500","1"
"187","25-06-20 22:25:00 -0500","1"
"188","25-06-20 22:30:00 -0500","1"
"189","25-06-20 22:35:00 -0500","1"
"190","25-06-20 22:40:00 -0500","1"
"191","25-06-20 22:45:00 -0500","1"
"192","25-06-20 22:50:00 -0500","1"
"193","25-06-20 22:55:00 -0500","1"
"194","25-06-20 23:00:00 -0500","1"
"195","25-06-20 23:05:00 -0500","1"
"196","25-06-20 23:10:00 -0500","1"
"197","25-06-20 23:15:00 -0500","1"
"198","25-06-20 23:20:00 -0500","1"
"199","25-06-20 23:25:00 -0500","1"
"200","25-06-20 23:30:00 -0500","1"
"201","25-06-20 23:35:00 -0500","1"
"202","25-06-20 23:40:00 -0500","1"
"203","25-06-20 23:45:00 -0500","1"
"204","25-06-20 23:50:00 -0500","1"
"205","25-06-20 23:55:00 -0500","1"
"206","25-06-21 00:00:00 -0500","1"
"207","25-06-21 00:05:00 -0500","1"
"208","25-06-21 00:10:00 -0500","1"
"209","25-06-21 00:15:00 -0500","1"
"210","25-06-21 00:20:00 -0500","1"
"211","25-06-21 00:25:00 -0500","1"
"212","25-06-21 00:30:00 -0500","1"
"213","25-06-21 00:35:00 -0500","1"
"214","25-06-21 00:40:00 -0500","1"
"215","25-06-21 00:45:00 -0500","1"
"216","25-06-21 00:50:00 -0500","1"
"217","25-06-21 00:55:00 -0500","1"
"218","25-06-21 01:00:00 -0500","1"
"219","25-06-21 01:05:00 -0500","1"
"220","25-06-21 01:10:00 -0500","1"
"221","25-06-21 01:15:00 -0500","1"
"222","25-06-21 01:20:00 -0500","1"
"223","25-06-21 01:25:00 -0500","1"
"224","25-06-21 01:30:00 -0500","1"
"225","25-06-21 01:35:00 -0500","1"
"226","25-06-21 01:40:00 -0500","1"
