"Line#","Date","Solar Radiation (S-LIB 21559981:22047692-1),W/m²,21559981"
"1422","25-06-25 05:20:00 -0500","1"
"1423","25-06-25 05:25:00 -0500","1"
"1424","25-06-25 05:30:00 -0500","1"
"1425","25-06-25 05:35:00 -0500","1"
"1426","25-06-25 05:40:00 -0500","1"
"1427","25-06-25 05:45:00 -0500","1"
"1428","25-06-25 05:50:00 -0500","1"
"1429","25-06-25 05:55:00 -0500","1"
"1430","25-06-25 06:00:00 -0500","1"
"1431","25-06-25 06:05:00 -0500","2"
"1432","25-06-25 06:10:00 -0500","4"
"1433","25-06-25 06:15:00 -0500","6"
"1434","25-06-25 06:20:00 -0500","8"
"1435","25-06-25 06:25:00 -0500","11"
"1436","25-06-25 06:30:00 -0500","12"
"1437","25-06-25 06:35:00 -0500","13"
"1438","25-06-25 06:40:00 -0500","16"
"1439","25-06-25 06:45:00 -0500","99"
"1440","25-06-25 06:50:00 -0500","112"
"1441","25-06-25 06:55:00 -0500","132"
"1442","25-06-25 07:00:00 -0500","144"
"1443","25-06-25 07:05:00 -0500","187"
"1444","25-06-25 07:10:00 -0500","187"
"1445","25-06-25 07:15:00 -0500","204"
"1446","25-06-25 07:20:00 -0500","219"
"1447","25-06-25 07:25:00 -0500","233"
"1448","25-06-25 07:30:00 -0500","249"
"1449","25-06-25 07:35:00 -0500","266"
"1450","25-06-25 07:40:00 -0500","283"
"1451","25-06-25 07:45:00 -0500","298"
"1452","25-06-25 07:50:00 -0500","313"
"1453","25-06-25 07:55:00 -0500","328"
"1454","25-06-25 08:00:00 -0500","346"
"1455","25-06-25 08:05:00 -0500","361"
"1456","25-06-25 08:10:00 -0500","377"
"1457","25-06-25 08:15:00 -0500","392"
"1458","25-06-25 08:20:00 -0500","403"
"1459","25-06-25 08:25:00 -0500","409"
"1460","25-06-25 08:30:00 -0500","423"
"1461","25-06-25 08:35:00 -0500","434"
"1462","25-06-25 08:40:00 -0500","447"
"1463","25-06-25 08:45:00 -0500","456"
"1464","25-06-25 08:50:00 -0500","472"
"1465","25-06-25 08:55:00 -0500","499"
"1466","25-06-25 09:00:00 -0500","504"
"1467","25-06-25 09:05:00 -0500","514"
"1468","25-06-25 09:10:00 -0500","523"
"1469","25-06-25 09:15:00 -0500","543"
"1470","25-06-25 09:20:00 -0500","547"
"1471","25-06-25 09:25:00 -0500","581"
"1472","25-06-25 09:30:00 -0500","579"
"1473","25-06-25 09:35:00 -0500","589"
"1474","25-06-25 09:40:00 -0500","599"
"1475","25-06-25 09:45:00 -0500","604"
"1476","25-06-25 09:50:00 -0500","613"
"1477","25-06-25 09:55:00 -0500","629"
"1478","25-06-25 10:00:00 -0500","631"
"1479","25-06-25 10:05:00 -0500","667"
"1480","25-06-25 10:10:00 -0500","544"
"1481","25-06-25 10:15:00 -0500","739"
"1482","25-06-25 10:20:00 -0500","692"
"1483","25-06-25 10:25:00 -0500","696"
"1484","25-06-25 10:30:00 -0500","706"
"1485","25-06-25 10:35:00 -0500","709"
"1486","25-06-25 10:40:00 -0500","778"
"1487","25-06-25 10:45:00 -0500","727"
"1488","25-06-25 10:50:00 -0500","701"
"1489","25-06-25 10:55:00 -0500","737"
"1490","25-06-25 11:00:00 -0500","183"
"1491","25-06-25 11:05:00 -0500","462"
"1492","25-06-25 11:10:00 -0500","761"
"1493","25-06-25 11:15:00 -0500","747"
"1494","25-06-25 11:20:00 -0500","786"
"1495","25-06-25 11:25:00 -0500","728"
"1496","25-06-25 11:30:00 -0500","782"
"1497","25-06-25 11:35:00 -0500","731"
"1498","25-06-25 11:40:00 -0500","747"
"1499","25-06-25 11:45:00 -0500","712"
"1500","25-06-25 11:50:00 -0500","721"
"1501","25-06-25 11:55:00 -0500","749"
"1502","25-06-25 12:00:00 -0500","717"
"1503","25-06-25 12:05:00 -0500","718"
"1504","25-06-25 12:10:00 -0500","719"
"1505","25-06-25 12:15:00 -0500","707"
"1506","25-06-25 12:20:00 -0500","694"
"1507","25-06-25 12:25:00 -0500","698"
"1508","25-06-25 12:30:00 -0500","694"
"1509","25-06-25 12:35:00 -0500","683"
"1510","25-06-25 12:40:00 -0500","692"
"1511","25-06-25 12:45:00 -0500","674"
"1512","25-06-25 12:50:00 -0500","739"
"1513","25-06-25 12:55:00 -0500","721"
"1514","25-06-25 13:00:00 -0500","674"
"1515","25-06-25 13:05:00 -0500","487"
"1516","25-06-25 13:10:00 -0500","678"
"1517","25-06-25 13:15:00 -0500","668"
"1518","25-06-25 13:20:00 -0500","508"
"1519","25-06-25 13:25:00 -0500","509"
"1520","25-06-25 13:30:00 -0500","652"
"1521","25-06-25 13:35:00 -0500","623"
"1522","25-06-25 13:40:00 -0500","621"
"1523","25-06-25 13:45:00 -0500","622"
"1524","25-06-25 13:50:00 -0500","612"
"1525","25-06-25 13:55:00 -0500","596"
"1526","25-06-25 14:00:00 -0500","587"
"1527","25-06-25 14:05:00 -0500","592"
"1528","25-06-25 14:10:00 -0500","609"
"1529","25-06-25 14:15:00 -0500","573"
"1530","25-06-25 14:20:00 -0500","497"
"1531","25-06-25 14:25:00 -0500","144"
"1532","25-06-25 14:30:00 -0500","556"
"1533","25-06-25 14:35:00 -0500","498"
"1534","25-06-25 14:40:00 -0500","457"
"1535","25-06-25 14:45:00 -0500","369"
"1536","25-06-25 14:50:00 -0500","97"
"1537","25-06-25 14:55:00 -0500","339"
"1538","25-06-25 15:00:00 -0500","96"
"1539","25-06-25 15:05:00 -0500","107"
"1540","25-06-25 15:10:00 -0500","89"
"1541","25-06-25 15:15:00 -0500","198"
"1542","25-06-25 15:20:00 -0500","134"
"1543","25-06-25 15:25:00 -0500","164"
"1544","25-06-25 15:30:00 -0500","143"
"1545","25-06-25 15:35:00 -0500","103"
"1546","25-06-25 15:40:00 -0500","83"
"1547","25-06-25 15:45:00 -0500","131"
"1548","25-06-25 15:50:00 -0500","182"
"1549","25-06-25 15:55:00 -0500","222"
"1550","25-06-25 16:00:00 -0500","203"
"1551","25-06-25 16:05:00 -0500","191"
"1552","25-06-25 16:10:00 -0500","168"
"1553","25-06-25 16:15:00 -0500","146"
"1554","25-06-25 16:20:00 -0500","104"
"1555","25-06-25 16:25:00 -0500","111"
"1556","25-06-25 16:30:00 -0500","97"
"1557","25-06-25 16:35:00 -0500","82"
"1558","25-06-25 16:40:00 -0500","56"
"1559","25-06-25 16:45:00 -0500","42"
"1560","25-06-25 16:50:00 -0500","31"
"1561","25-06-25 16:55:00 -0500","19"
"1562","25-06-25 17:00:00 -0500","21"
"1563","25-06-25 17:05:00 -0500","13"
"1564","25-06-25 17:10:00 -0500","12"
"1565","25-06-25 17:15:00 -0500","9"
"1566","25-06-25 17:20:00 -0500","8"
"1567","25-06-25 17:25:00 -0500","6"
"1568","25-06-25 17:30:00 -0500","2"
"1569","25-06-25 17:35:00 -0500","1"
"1570","25-06-25 17:40:00 -0500","1"
"1571","25-06-25 17:45:00 -0500","1"
"1572","25-06-25 17:50:00 -0500","1"
"1573","25-06-25 17:55:00 -0500","1"
"1574","25-06-25 18:00:00 -0500","1"
"1575","25-06-25 18:05:00 -0500","1"
"1576","25-06-25 18:10:00 -0500","1"
"1577","25-06-25 18:15:00 -0500","1"
"1578","25-06-25 18:20:00 -0500","1"
"1579","25-06-25 18:25:00 -0500","1"
"1580","25-06-25 18:30:00 -0500","1"
"1581","25-06-25 18:35:00 -0500","1"
"1582","25-06-25 18:40:00 -0500","1"
"1583","25-06-25 18:45:00 -0500","1"
"1584","25-06-25 18:50:00 -0500","1"
"1585","25-06-25 18:55:00 -0500","1"
"1586","25-06-25 19:00:00 -0500","1"
"1587","25-06-25 19:05:00 -0500","1"
"1588","25-06-25 19:10:00 -0500","1"
"1589","25-06-25 19:15:00 -0500","1"
"1590","25-06-25 19:20:00 -0500","1"
"1591","25-06-25 19:25:00 -0500","1"
"1592","25-06-25 19:30:00 -0500","1"
"1593","25-06-25 19:35:00 -0500","1"
"1594","25-06-25 19:40:00 -0500","1"
"1595","25-06-25 19:45:00 -0500","1"
"1596","25-06-25 19:50:00 -0500","1"
"1597","25-06-25 19:55:00 -0500","1"
"1598","25-06-25 20:00:00 -0500","1"
"1599","25-06-25 20:05:00 -0500","1"
"1600","25-06-25 20:10:00 -0500","1"
"1601","25-06-25 20:15:00 -0500","1"
"1602","25-06-25 20:20:00 -0500","1"
"1603","25-06-25 20:25:00 -0500","1"
"1604","25-06-25 20:30:00 -0500","1"
"1605","25-06-25 20:35:00 -0500","1"
"1606","25-06-25 20:40:00 -0500","1"
"1607","25-06-25 20:45:00 -0500","1"
"1608","25-06-25 20:50:00 -0500","1"
"1609","25-06-25 20:55:00 -0500","1"
"1610","25-06-25 21:00:00 -0500","1"
"1611","25-06-25 21:05:00 -0500","1"
"1612","25-06-25 21:10:00 -0500","1"
"1613","25-06-25 21:15:00 -0500","1"
"1614","25-06-25 21:20:00 -0500","1"
"1615","25-06-25 21:25:00 -0500","1"
"1616","25-06-25 21:30:00 -0500","1"
"1617","25-06-25 21:35:00 -0500","1"
"1618","25-06-25 21:40:00 -0500","1"
"1619","25-06-25 21:45:00 -0500","1"
"1620","25-06-25 21:50:00 -0500","1"
"1621","25-06-25 21:55:00 -0500","1"
"1622","25-06-25 22:00:00 -0500","1"
"1623","25-06-25 22:05:00 -0500","1"
"1624","25-06-25 22:10:00 -0500","1"
"1625","25-06-25 22:15:00 -0500","1"
"1626","25-06-25 22:20:00 -0500","1"
"1627","25-06-25 22:25:00 -0500","1"
"1628","25-06-25 22:30:00 -0500","1"
"1629","25-06-25 22:35:00 -0500","1"
"1630","25-06-25 22:40:00 -0500","1"
"1631","25-06-25 22:45:00 -0500","1"
"1632","25-06-25 22:50:00 -0500","1"
"1633","25-06-25 22:55:00 -0500","1"
"1634","25-06-25 23:00:00 -0500","1"
"1635","25-06-25 23:05:00 -0500","1"
"1636","25-06-25 23:10:00 -0500","1"
"1637","25-06-25 23:15:00 -0500","1"
"1638","25-06-25 23:20:00 -0500","1"
"1639","25-06-25 23:25:00 -0500","1"
"1640","25-06-25 23:30:00 -0500","1"
"1641","25-06-25 23:35:00 -0500","1"
"1642","25-06-25 23:40:00 -0500","1"
"1643","25-06-25 23:45:00 -0500","1"
"1644","25-06-25 23:50:00 -0500","1"
"1645","25-06-25 23:55:00 -0500","1"
"1646","25-06-26 00:00:00 -0500","1"
"1647","25-06-26 00:05:00 -0500","1"
"1648","25-06-26 00:10:00 -0500","1"
"1649","25-06-26 00:15:00 -0500","1"
"1650","25-06-26 00:20:00 -0500","1"
"1651","25-06-26 00:25:00 -0500","1"
"1652","25-06-26 00:30:00 -0500","1"
"1653","25-06-26 00:35:00 -0500","1"
"1654","25-06-26 00:40:00 -0500","1"
"1655","25-06-26 00:45:00 -0500","1"
"1656","25-06-26 00:50:00 -0500","1"
"1657","25-06-26 00:55:00 -0500","1"
"1658","25-06-26 01:00:00 -0500","1"
"1659","25-06-26 01:05:00 -0500","1"
"1660","25-06-26 01:10:00 -0500","1"
"1661","25-06-26 01:15:00 -0500","1"
"1662","25-06-26 01:20:00 -0500","1"
"1663","25-06-26 01:25:00 -0500","1"
"1664","25-06-26 01:30:00 -0500","1"
"1665","25-06-26 01:35:00 -0500","1"
"1666","25-06-26 01:40:00 -0500","1"
"1667","25-06-26 01:45:00 -0500","1"
"1668","25-06-26 01:50:00 -0500","1"
"1669","25-06-26 01:55:00 -0500","1"
"1670","25-06-26 02:00:00 -0500","1"
"1671","25-06-26 02:05:00 -0500","1"
"1672","25-06-26 02:10:00 -0500","1"
"1673","25-06-26 02:15:00 -0500","1"
"1674","25-06-26 02:20:00 -0500","1"
"1675","25-06-26 02:25:00 -0500","1"
"1676","25-06-26 02:30:00 -0500","1"
"1677","25-06-26 02:35:00 -0500","1"
"1678","25-06-26 02:40:00 -0500","1"
"1679","25-06-26 02:45:00 -0500","1"
"1680","25-06-26 02:50:00 -0500","1"
"1681","25-06-26 02:55:00 -0500","1"
"1682","25-06-26 03:00:00 -0500","1"
"1683","25-06-26 03:05:00 -0500","1"
"1684","25-06-26 03:10:00 -0500","1"
"1685","25-06-26 03:15:00 -0500","1"
"1686","25-06-26 03:20:00 -0500","1"
"1687","25-06-26 03:25:00 -0500","1"
"1688","25-06-26 03:30:00 -0500","1"
"1689","25-06-26 03:35:00 -0500","1"
"1690","25-06-26 03:40:00 -0500","1"
"1691","25-06-26 03:45:00 -0500","1"
"1692","25-06-26 03:50:00 -0500","1"
"1693","25-06-26 03:55:00 -0500","1"
"1694","25-06-26 04:00:00 -0500","1"
"1695","25-06-26 04:05:00 -0500","1"
"1696","25-06-26 04:10:00 -0500","1"
"1697","25-06-26 04:15:00 -0500","1"
"1698","25-06-26 04:20:00 -0500","1"
"1699","25-06-26 04:25:00 -0500","1"
"1700","25-06-26 04:30:00 -0500","1"
"1701","25-06-26 04:35:00 -0500","1"
"1702","25-06-26 04:40:00 -0500","1"
"1703","25-06-26 04:45:00 -0500","1"
"1704","25-06-26 04:50:00 -0500","1"
"1705","25-06-26 04:55:00 -0500","1"
"1706","25-06-26 05:00:00 -0500","1"
"1707","25-06-26 05:05:00 -0500","1"
"1708","25-06-26 05:10:00 -0500","1"
"1709","25-06-26 05:15:00 -0500","1"
"1710","25-06-26 05:20:00 -0500","1"
"1711","25-06-26 05:25:00 -0500","1"
"1712","25-06-26 05:30:00 -0500","1"
"1713","25-06-26 05:35:00 -0500","1"
"1714","25-06-26 05:40:00 -0500","1"
"1715","25-06-26 05:45:00 -0500","1"
"1716","25-06-26 05:50:00 -0500","1"
"1717","25-06-26 05:55:00 -0500","1"
"1718","25-06-26 06:00:00 -0500","1"
"1719","25-06-26 06:05:00 -0500","2"
"1720","25-06-26 06:10:00 -0500","3"
"1721","25-06-26 06:15:00 -0500","6"
"1722","25-06-26 06:20:00 -0500","9"
"1723","25-06-26 06:25:00 -0500","11"
"1724","25-06-26 06:30:00 -0500","8"
"1725","25-06-26 06:35:00 -0500","16"
"1726","25-06-26 06:40:00 -0500","16"
"1727","25-06-26 06:45:00 -0500","28"
"1728","25-06-26 06:50:00 -0500","39"
"1729","25-06-26 06:55:00 -0500","42"
"1730","25-06-26 07:00:00 -0500","54"
"1731","25-06-26 07:05:00 -0500","67"
"1732","25-06-26 07:10:00 -0500","88"
"1733","25-06-26 07:15:00 -0500","79"
"1734","25-06-26 07:20:00 -0500","82"
"1735","25-06-26 07:25:00 -0500","69"
"1736","25-06-26 07:30:00 -0500","96"
"1737","25-06-26 07:35:00 -0500","92"
"1738","25-06-26 07:40:00 -0500","87"
"1739","25-06-26 07:45:00 -0500","158"
"1740","25-06-26 07:50:00 -0500","393"
"1741","25-06-26 07:55:00 -0500","99"
"1742","25-06-26 08:00:00 -0500","369"
"1743","25-06-26 08:05:00 -0500","363"
"1744","25-06-26 08:10:00 -0500","377"
"1745","25-06-26 08:15:00 -0500","407"
"1746","25-06-26 08:20:00 -0500","478"
"1747","25-06-26 08:25:00 -0500","497"
"1748","25-06-26 08:30:00 -0500","349"
"1749","25-06-26 08:35:00 -0500","322"
"1750","25-06-26 08:40:00 -0500","172"
"1751","25-06-26 08:45:00 -0500","284"
"1752","25-06-26 08:50:00 -0500","523"
"1753","25-06-26 08:55:00 -0500","381"
"1754","25-06-26 09:00:00 -0500","321"
"1755","25-06-26 09:05:00 -0500","289"
"1756","25-06-26 09:10:00 -0500","396"
"1757","25-06-26 09:15:00 -0500","373"
"1758","25-06-26 09:20:00 -0500","351"
"1759","25-06-26 09:25:00 -0500","354"
"1760","25-06-26 09:30:00 -0500","344"
"1761","25-06-26 09:35:00 -0500","359"
"1762","25-06-26 09:40:00 -0500","372"
"1763","25-06-26 09:45:00 -0500","368"
"1764","25-06-26 09:50:00 -0500","532"
"1765","25-06-26 09:55:00 -0500","529"
"1766","25-06-26 10:00:00 -0500","427"
"1767","25-06-26 10:05:00 -0500","457"
"1768","25-06-26 10:10:00 -0500","451"
"1769","25-06-26 10:15:00 -0500","441"
"1770","25-06-26 10:20:00 -0500","506"
"1771","25-06-26 10:25:00 -0500","778"
"1772","25-06-26 10:30:00 -0500","708"
"1773","25-06-26 10:35:00 -0500","927"
"1774","25-06-26 10:40:00 -0500","628"
"1775","25-06-26 10:45:00 -0500","732"
"1776","25-06-26 10:50:00 -0500","824"
"1777","25-06-26 10:55:00 -0500","807"
"1778","25-06-26 11:00:00 -0500","748"
"1779","25-06-26 11:05:00 -0500","719"
"1780","25-06-26 11:10:00 -0500","692"
"1781","25-06-26 11:15:00 -0500","696"
"1782","25-06-26 11:20:00 -0500","696"
"1783","25-06-26 11:25:00 -0500","703"
"1784","25-06-26 11:30:00 -0500","704"
"1785","25-06-26 11:35:00 -0500","704"
"1786","25-06-26 11:40:00 -0500","701"
"1787","25-06-26 11:45:00 -0500","711"
"1788","25-06-26 11:50:00 -0500","709"
"1789","25-06-26 11:55:00 -0500","704"
"1790","25-06-26 12:00:00 -0500","734"
"1791","25-06-26 12:05:00 -0500","739"
"1792","25-06-26 12:10:00 -0500","697"
"1793","25-06-26 12:15:00 -0500","808"
"1794","25-06-26 12:20:00 -0500","787"
"1795","25-06-26 12:25:00 -0500","487"
"1796","25-06-26 12:30:00 -0500","352"
"1797","25-06-26 12:35:00 -0500","337"
"1798","25-06-26 12:40:00 -0500","396"
"1799","25-06-26 12:45:00 -0500","442"
"1800","25-06-26 12:50:00 -0500","563"
"1801","25-06-26 12:55:00 -0500","392"
"1802","25-06-26 13:00:00 -0500","316"
"1803","25-06-26 13:05:00 -0500","344"
"1804","25-06-26 13:10:00 -0500","301"
"1805","25-06-26 13:15:00 -0500","323"
"1806","25-06-26 13:20:00 -0500","823"
"1807","25-06-26 13:25:00 -0500","352"
"1808","25-06-26 13:30:00 -0500","343"
"1809","25-06-26 13:35:00 -0500","871"
"1810","25-06-26 13:40:00 -0500","341"
"1811","25-06-26 13:45:00 -0500","326"
"1812","25-06-26 13:50:00 -0500","502"
"1813","25-06-26 13:55:00 -0500","794"
"1814","25-06-26 14:00:00 -0500","669"
"1815","25-06-26 14:05:00 -0500","477"
"1816","25-06-26 14:10:00 -0500","267"
"1817","25-06-26 14:15:00 -0500","387"
"1818","25-06-26 14:20:00 -0500","267"
"1819","25-06-26 14:25:00 -0500","378"
"1820","25-06-26 14:30:00 -0500","249"
"1821","25-06-26 14:35:00 -0500","433"
"1822","25-06-26 14:40:00 -0500","342"
"1823","25-06-26 14:45:00 -0500","507"
"1824","25-06-26 14:50:00 -0500","444"
"1825","25-06-26 14:55:00 -0500","457"
"1826","25-06-26 15:00:00 -0500","442"
"1827","25-06-26 15:05:00 -0500","396"
"1828","25-06-26 15:10:00 -0500","124"
"1829","25-06-26 15:15:00 -0500","131"
"1830","25-06-26 15:20:00 -0500","133"
"1831","25-06-26 15:25:00 -0500","144"
"1832","25-06-26 15:30:00 -0500","173"
"1833","25-06-26 15:35:00 -0500","98"
"1834","25-06-26 15:40:00 -0500","107"
"1835","25-06-26 15:45:00 -0500","118"
"1836","25-06-26 15:50:00 -0500","117"
"1837","25-06-26 15:55:00 -0500","118"
"1838","25-06-26 16:00:00 -0500","81"
"1839","25-06-26 16:05:00 -0500","104"
"1840","25-06-26 16:10:00 -0500","124"
"1841","25-06-26 16:15:00 -0500","142"
"1842","25-06-26 16:20:00 -0500","171"
"1843","25-06-26 16:25:00 -0500","151"
"1844","25-06-26 16:30:00 -0500","118"
"1845","25-06-26 16:35:00 -0500","31"
"1846","25-06-26 16:40:00 -0500","58"
"1847","25-06-26 16:45:00 -0500","39"
"1848","25-06-26 16:50:00 -0500","22"
"1849","25-06-26 16:55:00 -0500","16"
"1850","25-06-26 17:00:00 -0500","13"
"1851","25-06-26 17:05:00 -0500","12"
"1852","25-06-26 17:10:00 -0500","11"
"1853","25-06-26 17:15:00 -0500","8"
"1854","25-06-26 17:20:00 -0500","7"
"1855","25-06-26 17:25:00 -0500","4"
"1856","25-06-26 17:30:00 -0500","2"
"1857","25-06-26 17:35:00 -0500","1"
"1858","25-06-26 17:40:00 -0500","1"
"1859","25-06-26 17:45:00 -0500","1"
"1860","25-06-26 17:50:00 -0500","1"
"1861","25-06-26 17:55:00 -0500","1"
"1862","25-06-26 18:00:00 -0500","1"
"1863","25-06-26 18:05:00 -0500","1"
"1864","25-06-26 18:10:00 -0500","1"
"1865","25-06-26 18:15:00 -0500","1"
"1866","25-06-26 18:20:00 -0500","1"
"1867","25-06-26 18:25:00 -0500","1"
"1868","25-06-26 18:30:00 -0500","1"
"1869","25-06-26 18:35:00 -0500","1"
"1870","25-06-26 18:40:00 -0500","1"
"1871","25-06-26 18:45:00 -0500","1"
"1872","25-06-26 18:50:00 -0500","1"
"1873","25-06-26 18:55:00 -0500","1"
"1874","25-06-26 19:00:00 -0500","1"
"1875","25-06-26 19:05:00 -0500","1"
"1876","25-06-26 19:10:00 -0500","1"
"1877","25-06-26 19:15:00 -0500","1"
"1878","25-06-26 19:20:00 -0500","1"
"1879","25-06-26 19:25:00 -0500","1"
"1880","25-06-26 19:30:00 -0500","1"
"1881","25-06-26 19:35:00 -0500","1"
"1882","25-06-26 19:40:00 -0500","1"
"1883","25-06-26 19:45:00 -0500","1"
"1884","25-06-26 19:50:00 -0500","1"
"1885","25-06-26 19:55:00 -0500","1"
"1886","25-06-26 20:00:00 -0500","1"
"1887","25-06-26 20:05:00 -0500","1"
"1888","25-06-26 20:10:00 -0500","1"
"1889","25-06-26 20:15:00 -0500","1"
"1890","25-06-26 20:20:00 -0500","1"
"1891","25-06-26 20:25:00 -0500","1"
"1892","25-06-26 20:30:00 -0500","1"
"1893","25-06-26 20:35:00 -0500","1"
"1894","25-06-26 20:40:00 -0500","1"
"1895","25-06-26 20:45:00 -0500","1"
"1896","25-06-26 20:50:00 -0500","1"
"1897","25-06-26 20:55:00 -0500","1"
"1898","25-06-26 21:00:00 -0500","1"
"1899","25-06-26 21:05:00 -0500","1"
"1900","25-06-26 21:10:00 -0500","1"
"1901","25-06-26 21:15:00 -0500","1"
"1902","25-06-26 21:20:00 -0500","1"
"1903","25-06-26 21:25:00 -0500","1"
"1904","25-06-26 21:30:00 -0500","1"
"1905","25-06-26 21:35:00 -0500","1"
"1906","25-06-26 21:40:00 -0500","1"
"1907","25-06-26 21:45:00 -0500","1"
"1908","25-06-26 21:50:00 -0500","1"
"1909","25-06-26 21:55:00 -0500","1"
"1910","25-06-26 22:00:00 -0500","1"
"1911","25-06-26 22:05:00 -0500","1"
"1912","25-06-26 22:10:00 -0500","1"
"1913","25-06-26 22:15:00 -0500","1"
"1914","25-06-26 22:20:00 -0500","1"
"1915","25-06-26 22:25:00 -0500","1"
"1916","25-06-26 22:30:00 -0500","1"
"1917","25-06-26 22:35:00 -0500","1"
"1918","25-06-26 22:40:00 -0500","1"
"1919","25-06-26 22:45:00 -0500","1"
"1920","25-06-26 22:50:00 -0500","1"
"1921","25-06-26 22:55:00 -0500","1"
"1922","25-06-26 23:00:00 -0500","1"
"1923","25-06-26 23:05:00 -0500","1"
"1924","25-06-26 23:10:00 -0500","1"
"1925","25-06-26 23:15:00 -0500","1"
"1926","25-06-26 23:20:00 -0500","1"
"1927","25-06-26 23:25:00 -0500","1"
"1928","25-06-26 23:30:00 -0500","1"
"1929","25-06-26 23:35:00 -0500","1"
"1930","25-06-26 23:40:00 -0500","1"
"1931","25-06-26 23:45:00 -0500","1"
"1932","25-06-26 23:50:00 -0500","1"
"1933","25-06-26 23:55:00 -0500","1"
"1934","25-06-27 00:00:00 -0500","1"
"1935","25-06-27 00:05:00 -0500","1"
"1936","25-06-27 00:10:00 -0500","1"
"1937","25-06-27 00:15:00 -0500","1"
"1938","25-06-27 00:20:00 -0500","1"
"1939","25-06-27 00:25:00 -0500","1"
"1940","25-06-27 00:30:00 -0500","1"
"1941","25-06-27 00:35:00 -0500","1"
"1942","25-06-27 00:40:00 -0500","1"
"1943","25-06-27 00:45:00 -0500","1"
"1944","25-06-27 00:50:00 -0500","1"
"1945","25-06-27 00:55:00 -0500","1"
"1946","25-06-27 01:00:00 -0500","1"
"1947","25-06-27 01:05:00 -0500","1"
"1948","25-06-27 01:10:00 -0500","1"
"1949","25-06-27 01:15:00 -0500","1"
"1950","25-06-27 01:20:00 -0500","1"
"1951","25-06-27 01:25:00 -0500","1"
"1952","25-06-27 01:30:00 -0500","1"
"1953","25-06-27 01:35:00 -0500","1"
"1954","25-06-27 01:40:00 -0500","1"
"1955","25-06-27 01:45:00 -0500","1"
"1956","25-06-27 01:50:00 -0500","1"
"1957","25-06-27 01:55:00 -0500","1"
"1958","25-06-27 02:00:00 -0500","1"
"1959","25-06-27 02:05:00 -0500","1"
"1960","25-06-27 02:10:00 -0500","1"
"1961","25-06-27 02:15:00 -0500","1"
"1962","25-06-27 02:20:00 -0500","1"
"1963","25-06-27 02:25:00 -0500","1"
"1964","25-06-27 02:30:00 -0500","1"
"1965","25-06-27 02:35:00 -0500","1"
"1966","25-06-27 02:40:00 -0500","1"
"1967","25-06-27 02:45:00 -0500","1"
"1968","25-06-27 02:50:00 -0500","1"
"1969","25-06-27 02:55:00 -0500","1"
"1970","25-06-27 03:00:00 -0500","1"
"1971","25-06-27 03:05:00 -0500","1"
"1972","25-06-27 03:10:00 -0500","1"
"1973","25-06-27 03:15:00 -0500","1"
"1974","25-06-27 03:20:00 -0500","1"
"1975","25-06-27 03:25:00 -0500","1"
"1976","25-06-27 03:30:00 -0500","1"
"1977","25-06-27 03:35:00 -0500","1"
"1978","25-06-27 03:40:00 -0500","1"
"1979","25-06-27 03:45:00 -0500","1"
"1980","25-06-27 03:50:00 -0500","1"
"1981","25-06-27 03:55:00 -0500","1"
"1982","25-06-27 04:00:00 -0500","1"
"1983","25-06-27 04:05:00 -0500","1"
"1984","25-06-27 04:10:00 -0500","1"
"1985","25-06-27 04:15:00 -0500","1"
"1986","25-06-27 04:20:00 -0500","1"
"1987","25-06-27 04:25:00 -0500","1"
"1988","25-06-27 04:30:00 -0500","1"
"1989","25-06-27 04:35:00 -0500","1"
"1990","25-06-27 04:40:00 -0500","1"
"1991","25-06-27 04:45:00 -0500","1"
"1992","25-06-27 04:50:00 -0500","1"
"1993","25-06-27 04:55:00 -0500","1"
"1994","25-06-27 05:00:00 -0500","1"
"1995","25-06-27 05:05:00 -0500","1"
"1996","25-06-27 05:10:00 -0500","1"
"1997","25-06-27 05:15:00 -0500","1"
"1998","25-06-27 05:20:00 -0500","1"
"1999","25-06-27 05:25:00 -0500","1"
"2000","25-06-27 05:30:00 -0500","1"
"2001","25-06-27 05:35:00 -0500","1"
"2002","25-06-27 05:40:00 -0500","1"
"2003","25-06-27 05:45:00 -0500","1"
"2004","25-06-27 05:50:00 -0500","1"
"2005","25-06-27 05:55:00 -0500","1"
"2006","25-06-27 06:00:00 -0500","1"
"2007","25-06-27 06:05:00 -0500","1"
"2008","25-06-27 06:10:00 -0500","1"
"2009","25-06-27 06:15:00 -0500","2"
"2010","25-06-27 06:20:00 -0500","6"
"2011","25-06-27 06:25:00 -0500","17"
"2012","25-06-27 06:30:00 -0500","28"
"2013","25-06-27 06:35:00 -0500","24"
"2014","25-06-27 06:40:00 -0500","21"
"2015","25-06-27 06:45:00 -0500","26"
"2016","25-06-27 06:50:00 -0500","143"
"2017","25-06-27 06:55:00 -0500","48"
"2018","25-06-27 07:00:00 -0500","49"
"2019","25-06-27 07:05:00 -0500","62"
"2020","25-06-27 07:10:00 -0500","71"
"2021","25-06-27 07:15:00 -0500","94"
"2022","25-06-27 07:20:00 -0500","101"
"2023","25-06-27 07:25:00 -0500","143"
"2024","25-06-27 07:30:00 -0500","353"
"2025","25-06-27 07:35:00 -0500","161"
"2026","25-06-27 07:40:00 -0500","161"
"2027","25-06-27 07:45:00 -0500","164"
