Line#,Date,"Solar Radiation (S-LIB 21559981:22047692-1),W/m²,21559981","Temperature (S-THC 21559981:22071558-1),°C,21559981","RH (S-THC 21559981:22071558-2),%,21559981"
1,25-06-18 15:40:00 -0500,124,12.196,53.196
2,25-06-18 15:45:00 -0500,123,12.26,55.476
3,25-06-18 15:50:00 -0500,117,11.939,55.155
4,25-06-18 15:55:00 -0500,109,11.746,55.888
5,25-06-18 16:00:00 -0500,103,11.617,56.51
6,25-06-18 16:05:00 -0500,104,11.467,55.911
7,25-06-18 16:10:00 -0500,93,11.424,56.358
8,25-06-18 16:15:00 -0500,87,11.445,56.387
9,25-06-18 16:20:00 -0500,83,11.51,56.5
10,25-06-18 16:25:00 -0500,77,11.488,57.713
11,25-06-18 16:30:00 -0500,67,11.102,58.065
12,25-06-18 16:35:00 -0500,59,10.866,58.875
13,25-06-18 16:40:00 -0500,51,10.759,60.182
14,25-06-18 16:45:00 -0500,44,10.502,59.806
15,25-06-18 16:50:00 -0500,42,10.309,60.006
16,25-06-18 16:55:00 -0500,42,11.252,57.713
17,25-06-18 17:00:00 -0500,29,14.384,47.893
18,25-06-18 17:05:00 -0500,22,12.775,50.526
19,25-06-18 17:10:00 -0500,16,9.88,58.912
20,25-06-19 11:10:00 -0500,917,15.306,50.642
21,25-06-19 11:15:00 -0500,948,15.735,47.23
22,25-06-19 11:20:00 -0500,546,14.877,46.224
23,25-06-19 11:25:00 -0500,332,15.563,42.039
24,25-06-19 11:30:00 -0500,461,16.228,42.113
25,25-06-19 11:35:00 -0500,369,15.714,42.342
26,25-06-19 11:40:00 -0500,442,17.279,39.01
27,25-06-19 11:45:00 -0500,324,18.051,37.832
28,25-06-19 11:50:00 -0500,866,15.027,44.442
29,25-06-19 11:55:00 -0500,289,18.094,39.471
30,25-06-19 12:00:00 -0500,783,19.231,34.92
31,25-06-19 12:05:00 -0500,223,17.086,38.634
32,25-06-19 12:10:00 -0500,216,15.263,40.162
33,25-06-19 12:15:00 -0500,892,15.971,42.423
34,25-06-19 12:20:00 -0500,823,19.746,33.587
35,25-06-19 12:25:00 -0500,852,20.754,34.076
36,25-06-19 12:30:00 -0500,731,19.681,35.126
37,25-06-19 12:35:00 -0500,894,21.462,33.696
38,25-06-19 12:40:00 -0500,508,23.885,28.31
39,25-06-19 12:45:00 -0500,337,17.73,37.278
40,25-06-19 12:50:00 -0500,753,20.582,34.98
41,25-06-19 12:55:00 -0500,592,19.939,34.948
42,25-06-19 13:00:00 -0500,457,19.017,34.65
43,25-06-19 13:05:00 -0500,326,17.966,36.892
44,25-06-19 13:10:00 -0500,672,19.317,37.955
45,25-06-19 13:15:00 -0500,229,16.421,39.641
46,25-06-19 13:20:00 -0500,543,19.574,35.904
47,25-06-19 13:25:00 -0500,483,21.998,32.769
48,25-06-19 13:30:00 -0500,622,21.226,32.943
49,25-06-19 13:35:00 -0500,578,22.191,31.746
50,25-06-19 13:40:00 -0500,561,21.912,31.794
51,25-06-19 13:45:00 -0500,566,21.612,32.091
52,25-06-19 13:50:00 -0500,544,20.732,31.499
53,25-06-19 13:55:00 -0500,528,20.454,32.769
54,25-06-19 14:00:00 -0500,521,21.676,31.716
55,25-06-19 14:05:00 -0500,506,20.003,32.041
56,25-06-19 14:10:00 -0500,504,20.689,31.954
57,25-06-19 14:15:00 -0500,496,20.368,32.192
58,25-06-19 14:20:00 -0500,497,20.99,31.254
59,25-06-19 14:25:00 -0500,498,18.695,35.116
60,25-06-19 14:30:00 -0500,498,20.325,31.231
61,25-06-19 14:40:00 -0500,479,20.99,30.242
62,25-06-19 14:45:00 -0500,446,21.054,29.059
63,25-06-19 14:50:00 -0500,413,20.11,30.915
64,25-06-19 14:55:00 -0500,397,19.21,32.462
65,25-06-19 15:00:00 -0500,376,20.132,32.461
66,25-06-19 15:05:00 -0500,356,19.102,33.051
67,25-06-19 15:10:00 -0500,346,19.424,31.843
68,25-06-19 15:15:00 -0500,94,20.196,30.648
69,25-06-19 15:20:00 -0500,347,18.888,30.909
70,25-06-19 15:25:00 -0500,311,19.724,32.227
71,25-06-19 15:30:00 -0500,289,19.81,31
72,25-06-19 15:35:00 -0500,283,18.137,34.076
73,25-06-19 15:40:00 -0500,266,18.266,33.564
74,25-06-19 15:45:00 -0500,234,18.63,32.602
75,25-06-19 15:50:00 -0500,221,19.274,32.045
76,25-06-19 15:55:00 -0500,203,18.523,33.289
77,25-06-19 16:00:00 -0500,189,18.18,32.95
78,25-06-19 16:05:00 -0500,174,18.116,32.696
79,25-06-19 16:10:00 -0500,156,17.108,34.861
80,25-06-19 16:15:00 -0500,142,17.644,35.012
81,25-06-19 16:20:00 -0500,127,16.807,35.903
82,25-06-19 16:25:00 -0500,108,17.751,33.866
83,25-06-19 16:30:00 -0500,89,17.794,34.694
84,25-06-19 16:35:00 -0500,69,15.521,37.511
85,25-06-19 16:40:00 -0500,52,14.963,38.987
86,25-06-20 12:25:00 -0500,679,25.129,26.423
87,25-06-20 12:30:00 -0500,667,20.99,29.729
88,25-06-20 12:35:00 -0500,668,23.07,27.976
89,25-06-20 12:40:00 -0500,671,25.622,24.437
90,25-06-20 12:45:00 -0500,658,23.821,27.738
91,25-06-20 12:50:00 -0500,656,24.786,26.392
92,25-06-20 12:55:00 -0500,644,22.899,26.972
93,25-06-20 13:00:00 -0500,637,22.277,30.274
94,25-06-20 13:05:00 -0500,628,21.097,32.332
95,25-06-20 13:10:00 -0500,619,21.676,29.265
96,25-06-20 13:15:00 -0500,609,26.952,23.265
97,25-06-20 13:20:00 -0500,601,23.585,26.635
98,25-06-20 13:25:00 -0500,594,27.681,22.263
99,25-06-20 13:30:00 -0500,583,22.77,27.651
100,25-06-20 13:35:00 -0500,574,22.963,28.498
101,25-06-20 13:40:00 -0500,561,24.529,26.287
102,25-06-20 13:45:00 -0500,552,27.617,22.55
103,25-06-20 13:50:00 -0500,539,23.392,26.758
104,25-06-20 13:55:00 -0500,534,21.891,29.938
105,25-06-20 14:00:00 -0500,516,23.714,27.674
106,25-06-20 14:05:00 -0500,507,23.842,25.914
107,25-06-20 14:10:00 -0500,499,24.464,24.987
108,25-06-20 14:15:00 -0500,481,30.127,19.983
109,25-06-20 14:20:00 -0500,474,24.486,25.055
110,25-06-20 14:25:00 -0500,462,22.941,26.963
111,25-06-20 14:30:00 -0500,452,24.4,25.216
112,25-06-20 14:35:00 -0500,436,28.068,21.411
113,25-06-20 14:40:00 -0500,424,23.992,26.528
114,25-06-20 14:45:00 -0500,414,24.55,26.029
115,25-06-20 14:50:00 -0500,401,23.628,27.28
116,25-06-20 14:55:00 -0500,386,24.271,26.827
117,25-06-20 15:00:00 -0500,66,22.427,29.059
118,25-06-20 15:05:00 -0500,369,19.51,33.866
119,25-06-20 15:10:00 -0500,342,21.976,28.432
120,25-06-20 15:15:00 -0500,333,26.502,23.394
121,25-06-20 15:20:00 -0500,78,18.309,33.259
122,25-06-20 15:25:00 -0500,316,21.655,29.065
123,25-06-20 15:30:00 -0500,302,22.856,26.653
124,25-06-20 15:35:00 -0500,283,25.923,23.966
125,25-06-20 15:40:00 -0500,261,26.738,23.284
126,25-06-20 15:45:00 -0500,251,23.799,27.582
127,25-06-20 15:50:00 -0500,234,22.041,29.178
128,25-06-20 15:55:00 -0500,223,21.891,28.873
129,25-06-20 16:00:00 -0500,221,23.628,27.539
130,25-06-20 16:05:00 -0500,198,22.126,29.102
131,25-06-20 16:10:00 -0500,178,21.912,29.509
132,25-06-20 16:15:00 -0500,169,21.483,30.968
133,25-06-20 16:20:00 -0500,156,21.033,29.815
134,25-06-20 16:25:00 -0500,127,20.99,32.366
135,25-06-20 16:30:00 -0500,49,16.571,39.055
136,25-06-20 16:35:00 -0500,26,12.925,48.367
137,25-06-20 16:40:00 -0500,49,16.378,40.804
138,25-06-20 16:45:00 -0500,37,18.673,35.605
139,25-06-20 16:50:00 -0500,23,18.266,36.573
140,25-06-20 16:55:00 -0500,17,17.386,38.358
141,25-06-20 17:00:00 -0500,16,16.893,38.981
142,25-06-20 17:05:00 -0500,13,13.676,45.492
143,25-06-20 17:10:00 -0500,11,10.931,53.46
144,25-06-20 17:15:00 -0500,8,10.437,55.32
145,25-06-20 17:20:00 -0500,6,9.837,57.96
146,25-06-20 17:25:00 -0500,3,8.893,60.781
147,25-06-20 17:30:00 -0500,2,8.486,61.686
148,25-06-20 17:35:00 -0500,1,8.121,62.579
149,25-06-20 17:40:00 -0500,1,7.907,63.412
150,25-06-20 17:45:00 -0500,1,7.842,63.943
151,25-06-20 17:50:00 -0500,1,7.713,64.579
152,25-06-20 17:55:00 -0500,1,7.671,64.366
153,25-06-20 18:00:00 -0500,1,7.563,65.583
154,25-06-20 18:05:00 -0500,1,7.478,66.174
155,25-06-20 18:10:00 -0500,1,7.563,66.22
156,25-06-20 18:15:00 -0500,1,7.563,66.581
157,25-06-20 18:20:00 -0500,1,6.748,68.191
158,25-06-20 18:25:00 -0500,1,5.547,72.418
159,25-06-20 18:30:00 -0500,1,5.612,72.897
160,25-06-20 18:35:00 -0500,1,5.526,73.373
161,25-06-20 18:40:00 -0500,1,5.354,73.945
162,25-06-20 18:45:00 -0500,1,5.376,74.354
163,25-06-20 18:50:00 -0500,1,5.204,75.178
164,25-06-20 18:55:00 -0500,1,5.075,75.723
165,25-06-20 19:00:00 -0500,1,3.789,80.041
166,25-06-20 19:05:00 -0500,1,3.531,81.794
167,25-06-20 19:10:00 -0500,1,2.995,83.754
168,25-06-20 19:15:00 -0500,1,3.724,82.246
169,25-06-20 19:20:00 -0500,1,4.797,78.145
170,25-06-20 19:25:00 -0500,1,5.011,76.883
171,25-06-20 19:30:00 -0500,1,4.475,78.073
172,25-06-20 19:35:00 -0500,1,3.96,81.056
173,25-06-20 19:40:00 -0500,1,4.003,80.787
174,25-06-20 19:45:00 -0500,1,2.909,83.702
175,25-06-20 19:50:00 -0500,1,2.459,85.583
176,25-06-20 19:55:00 -0500,1,2.545,85.461
177,25-06-20 20:00:00 -0500,1,2.716,85.927
178,25-06-20 20:05:00 -0500,1,3.595,83.603
179,25-06-20 20:10:00 -0500,1,4.303,80.406
180,25-06-20 20:15:00 -0500,1,2.931,81.962
181,25-06-20 20:20:00 -0500,1,2.266,87.75
182,25-06-20 20:25:00 -0500,1,2.459,87.837
183,25-06-20 20:30:00 -0500,1,2.673,86.427
184,25-06-20 20:35:00 -0500,1,2.78,86.056
185,25-06-20 20:40:00 -0500,1,2.073,87.622
186,25-06-20 20:45:00 -0500,1,1.73,89.801
187,25-06-20 20:50:00 -0500,1,0.979,89.841
188,25-06-20 20:55:00 -0500,1,0.893,91.563
189,25-06-20 21:00:00 -0500,1,1.365,90.697
190,25-06-20 21:05:00 -0500,1,1.837,91.772
191,25-06-20 21:10:00 -0500,1,0.571,92.749
192,25-06-20 21:15:00 -0500,1,0.55,94.908
193,25-06-20 21:20:00 -0500,1,1.022,93.223
194,25-06-20 21:25:00 -0500,1,1.322,92.399
195,25-06-20 21:30:00 -0500,1,1.622,89.996
196,25-06-20 21:35:00 -0500,1,1.772,89.639
197,25-06-20 21:40:00 -0500,1,0.507,89.007
198,25-06-20 21:45:00 -0500,1,-0.201,94.862
199,25-06-20 21:50:00 -0500,1,-0.115,94.475
200,25-06-20 21:55:00 -0500,1,0.014,91.403
201,25-06-20 22:00:00 -0500,1,-0.051,95.308
202,25-06-20 22:05:00 -0500,1,1.022,93.1
203,25-06-20 22:10:00 -0500,1,0.228,95.592
204,25-06-20 22:15:00 -0500,1,1.987,90.043
205,25-06-20 22:20:00 -0500,1,0.786,92.438
206,25-06-20 22:25:00 -0500,1,1.815,89.374
207,25-06-20 22:30:00 -0500,1,0.914,91.98
208,25-06-20 22:35:00 -0500,1,0.035,95.618
209,25-06-20 22:40:00 -0500,1,0.228,96.512
210,25-06-20 22:45:00 -0500,1,0.55,95.508
211,25-06-20 22:50:00 -0500,1,-0.244,96.895
212,25-06-20 22:55:00 -0500,1,-0.351,97.331
213,25-06-20 23:00:00 -0500,1,-0.072,98.187
214,25-06-20 23:05:00 -0500,1,-0.029,97.523
215,25-06-20 23:10:00 -0500,1,-0.758,98.608
216,25-06-20 23:15:00 -0500,1,-0.115,98.712
217,25-06-20 23:20:00 -0500,1,-0.094,98.151
218,25-06-20 23:25:00 -0500,1,-0.587,98.428
219,25-06-20 23:30:00 -0500,1,-1.209,98.984
220,25-06-20 23:35:00 -0500,1,-1.788,99.689
221,25-06-20 23:40:00 -0500,1,-1.295,99.994
222,25-06-20 23:45:00 -0500,1,-1.595,99.934
223,25-06-20 23:50:00 -0500,1,-1.423,100
224,25-06-20 23:55:00 -0500,1,-1.831,100
225,25-06-21 00:00:00 -0500,1,-2.26,100
226,25-06-21 00:05:00 -0500,1,-1.488,100
227,25-06-21 00:10:00 -0500,1,-2.388,100
228,25-06-21 00:15:00 -0500,1,-1.917,100
229,25-06-21 00:20:00 -0500,1,-1.938,100
230,25-06-21 00:25:00 -0500,1,-1.659,100
231,25-06-21 00:30:00 -0500,1,-2.346,100
232,25-06-21 00:35:00 -0500,1,-2.582,100
233,25-06-21 00:40:00 -0500,1,-2.903,100
234,25-06-21 00:45:00 -0500,1,-3.204,100
235,25-06-21 00:50:00 -0500,1,-2.582,100
236,25-06-21 00:55:00 -0500,1,-2.56,100
237,25-06-21 01:00:00 -0500,1,-2.71,100
238,25-06-21 01:05:00 -0500,1,-2.882,100
239,25-06-21 01:10:00 -0500,1,-3.354,100
240,25-06-21 01:15:00 -0500,1,-3.525,99.751
241,25-06-21 01:20:00 -0500,1,-1.595,100
242,25-06-21 01:25:00 -0500,1,-3.053,99.435
243,25-06-21 01:30:00 -0500,1,-3.504,99.088
244,25-06-21 01:35:00 -0500,1,-3.847,99.532
245,25-06-21 01:40:00 -0500,1,-4.061,99.467
246,25-06-21 01:45:00 -0500,1,-3.997,99.368
247,25-06-21 01:50:00 -0500,1,-3.096,99.188
248,25-06-21 01:55:00 -0500,1,-3.568,99.174
249,25-06-21 02:00:00 -0500,1,-4.748,98.219
250,25-06-21 02:05:00 -0500,1,-4.662,98.822
251,25-06-21 02:10:00 -0500,1,-3.289,99.391
252,25-06-21 02:15:00 -0500,1,-2.882,99.495
253,25-06-21 02:20:00 -0500,1,-3.397,100
254,25-06-21 02:25:00 -0500,1,-4.147,98.872
255,25-06-21 02:30:00 -0500,1,-3.225,98.895
256,25-06-21 02:35:00 -0500,1,-3.504,99.217
257,25-06-21 02:40:00 -0500,1,-4.533,98.927
258,25-06-21 02:45:00 -0500,1,-3.804,98.895
259,25-06-21 02:50:00 -0500,1,-3.697,98.813
260,25-06-21 02:55:00 -0500,1,-4.061,98.744
261,25-06-21 03:00:00 -0500,1,-3.868,98.854
262,25-06-21 03:05:00 -0500,1,-3.547,100
263,25-06-21 03:10:00 -0500,1,-3.096,99.309
264,25-06-21 03:15:00 -0500,1,-3.632,98.993
265,25-06-21 03:20:00 -0500,1,-3.697,98.813
266,25-06-21 03:25:00 -0500,1,-3.74,99.066
267,25-06-21 03:30:00 -0500,1,-4.104,98.799
268,25-06-21 03:35:00 -0500,1,-4.683,98.531
269,25-06-21 03:40:00 -0500,1,-4.984,98.566
270,25-06-21 03:45:00 -0500,1,-5.091,98.627
271,25-06-21 03:50:00 -0500,1,-4.941,98.689
272,25-06-21 03:55:00 -0500,1,-5.027,98.695
273,25-06-21 04:00:00 -0500,1,-5.048,98.63
274,25-06-21 04:05:00 -0500,1,-4.512,98.567
275,25-06-21 04:10:00 -0500,1,-3.911,99.271
276,25-06-21 04:15:00 -0500,1,-4.812,98.392
277,25-06-21 04:20:00 -0500,1,-5.005,98.531
278,25-06-21 04:25:00 -0500,1,-5.027,98.741
279,25-06-21 04:30:00 -0500,1,-5.263,98.297
280,25-06-21 04:35:00 -0500,1,-5.112,98.379
281,25-06-21 04:40:00 -0500,1,-5.305,98.283
282,25-06-21 04:45:00 -0500,1,-5.842,97.939
283,25-06-21 04:50:00 -0500,1,-5.37,98.224
284,25-06-21 04:55:00 -0500,1,-6.249,97.867
285,25-06-21 05:00:00 -0500,1,-5.799,98.085
286,25-06-21 05:05:00 -0500,1,-6.271,97.819
287,25-06-21 05:10:00 -0500,1,-5.713,97.952
288,25-06-21 05:15:00 -0500,1,-5.134,98.21
289,25-06-21 05:20:00 -0500,1,-4.984,98.128
290,25-06-21 05:25:00 -0500,1,-5.284,97.961
291,25-06-21 05:30:00 -0500,1,-6.163,97.913
292,25-06-21 05:35:00 -0500,1,-5.97,98.044
293,25-06-21 05:40:00 -0500,1,-5.434,97.908
294,25-06-21 05:45:00 -0500,1,-5.691,97.752
295,25-06-21 05:50:00 -0500,1,-6.206,97.729
296,25-06-21 05:55:00 -0500,1,-5.992,97.821
297,25-06-21 06:00:00 -0500,1,-6.571,97.549
298,25-06-21 06:05:00 -0500,2,-6.549,98.259
299,25-06-21 06:10:00 -0500,4,-6.506,97.89
300,25-06-21 06:15:00 -0500,6,-6.078,99.286
301,25-06-21 06:20:00 -0500,8,-6.893,97.615
302,25-06-21 06:25:00 -0500,11,-6.249,97.885
303,25-06-21 06:30:00 -0500,12,-6.099,97.926
304,25-06-21 06:35:00 -0500,14,-5.927,98.036
305,25-06-21 06:40:00 -0500,67,-4.426,98.856
306,25-06-21 06:45:00 -0500,91,1.172,96.213
307,25-06-21 06:50:00 -0500,107,4.668,94.626
308,25-06-21 06:55:00 -0500,131,6.598,91.371
309,25-06-21 07:00:00 -0500,151,9.837,81.213
310,25-06-21 07:05:00 -0500,164,12.539,49.935
311,25-06-21 07:10:00 -0500,207,15.177,40.926
312,25-06-21 07:15:00 -0500,221,17.966,35.039
313,25-06-21 07:20:00 -0500,233,20.046,32.877
314,25-06-21 07:25:00 -0500,249,19.81,33.075
315,25-06-21 07:30:00 -0500,264,14.191,40.877
316,25-06-21 07:35:00 -0500,279,14.277,42.232
317,25-06-21 07:40:00 -0500,294,15.778,39.673
318,25-06-21 07:45:00 -0500,309,16.057,39.796
319,25-06-21 07:50:00 -0500,324,16.636,40.098
320,25-06-21 07:55:00 -0500,339,20.368,33.606
321,25-06-21 08:00:00 -0500,352,23.306,28.772
322,25-06-21 08:05:00 -0500,369,21.097,32.305
323,25-06-21 08:10:00 -0500,382,20.496,34.644
324,25-06-21 08:15:00 -0500,394,18.18,38.277
325,25-06-21 08:20:00 -0500,411,17.815,37.704
326,25-06-21 08:25:00 -0500,424,21.44,31.792
327,25-06-21 08:30:00 -0500,438,21.59,32.032
328,25-06-21 08:35:00 -0500,452,23.585,29.514
329,25-06-21 08:40:00 -0500,466,27.639,22.71
330,25-06-21 08:45:00 -0500,478,22.47,28.75
331,25-06-21 08:50:00 -0500,493,23.499,28.484
332,25-06-21 08:55:00 -0500,504,23.735,26.281
333,25-06-21 09:00:00 -0500,517,22.77,27.626
334,25-06-21 09:05:00 -0500,529,25.816,24.739
335,25-06-21 09:10:00 -0500,541,28.11,22.226
336,25-06-21 09:15:00 -0500,552,25.944,23.255
337,25-06-21 09:20:00 -0500,562,21.44,26.715
338,25-06-21 09:25:00 -0500,573,26.03,20.737
339,25-06-21 09:30:00 -0500,582,24.614,23.323
340,25-06-21 09:35:00 -0500,594,28.346,19.709
341,25-06-21 09:40:00 -0500,604,27.617,21.929
342,25-06-21 09:45:00 -0500,616,22.963,23.204
343,25-06-21 09:50:00 -0500,622,21.891,24.793
344,25-06-21 09:55:00 -0500,631,20.775,24.584
345,25-06-21 10:00:00 -0500,639,22.727,22.441
346,25-06-21 10:05:00 -0500,648,24.829,21.286
347,25-06-21 10:10:00 -0500,653,21.719,26.571
348,25-06-21 10:15:00 -0500,659,22.877,22.98
349,25-06-21 10:20:00 -0500,664,23.499,23.082
350,25-06-21 10:25:00 -0500,672,27.982,18.091
351,25-06-21 10:30:00 -0500,677,24.743,23.243
352,25-06-21 10:35:00 -0500,682,22.169,22.565
353,25-06-21 10:40:00 -0500,686,22.191,25.086
354,25-06-21 10:45:00 -0500,689,22.47,24.738
355,25-06-21 10:50:00 -0500,697,24.078,21.337
356,25-06-21 10:55:00 -0500,701,22.319,22.556
357,25-06-21 11:00:00 -0500,703,24.529,21.378
358,25-06-21 11:05:00 -0500,704,26.502,19.638
359,25-06-21 11:10:00 -0500,708,23.07,18.431
360,25-06-21 11:15:00 -0500,708,21.333,17.644
361,25-06-21 11:20:00 -0500,712,24.25,17.205
362,25-06-21 11:25:00 -0500,708,25.129,15.08
363,25-06-21 11:30:00 -0500,708,27.617,15.427
364,25-06-21 11:35:00 -0500,708,26.866,16.553
365,25-06-21 11:40:00 -0500,709,24.893,16.695
366,25-06-21 11:45:00 -0500,708,24.614,15.3
367,25-06-21 11:50:00 -0500,708,23.821,16.838
368,25-06-21 11:55:00 -0500,708,26.051,17.996
369,25-06-21 12:00:00 -0500,704,25.408,17.859
370,25-06-21 12:05:00 -0500,701,25.966,16.063
371,25-06-21 12:10:00 -0500,697,26.03,16.019
372,25-06-21 12:15:00 -0500,696,22.77,19.126
373,25-06-21 12:20:00 -0500,689,20.904,20.487
374,25-06-21 12:25:00 -0500,686,22.105,19.927
375,25-06-21 12:30:00 -0500,682,21.033,18.956
376,25-06-21 12:35:00 -0500,677,22.448,17.845
377,25-06-21 12:40:00 -0500,671,26.009,15.25
378,25-06-21 12:45:00 -0500,663,25.065,15.839
379,25-06-21 12:50:00 -0500,657,25.644,16.077
380,25-06-21 12:55:00 -0500,653,27.832,14.072
381,25-06-21 13:00:00 -0500,646,29.011,14.055
382,25-06-21 13:05:00 -0500,638,24.143,16.234
383,25-06-21 13:10:00 -0500,629,28.025,14.952
384,25-06-21 13:15:00 -0500,622,27.21,15.244
385,25-06-21 13:20:00 -0500,614,28.797,15.776
386,25-06-21 13:25:00 -0500,606,24.486,19.068
387,25-06-21 13:30:00 -0500,597,22.405,17.386
388,25-06-21 13:35:00 -0500,587,22.319,17.089
389,25-06-21 13:40:00 -0500,578,24.4,17.015
390,25-06-21 13:45:00 -0500,568,24.507,16.522
391,25-06-21 13:50:00 -0500,557,27.81,15.454
392,25-06-21 13:55:00 -0500,543,23.521,17.996
393,25-06-21 14:00:00 -0500,531,23.757,18.091
394,25-06-21 14:05:00 -0500,519,29.033,16.449
395,25-06-21 14:10:00 -0500,507,25.987,16.228
396,25-06-21 14:15:00 -0500,494,26.909,14.58
397,25-06-21 14:20:00 -0500,482,29.74,12.576
398,25-06-21 14:25:00 -0500,469,28.518,13.738
399,25-06-21 14:30:00 -0500,457,26.566,15.552
400,25-06-21 14:35:00 -0500,443,25.494,15.955
401,25-06-21 14:40:00 -0500,428,27.767,14.907
402,25-06-21 14:45:00 -0500,413,26.309,16.374
403,25-06-21 14:50:00 -0500,399,28.432,14.461
404,25-06-21 14:55:00 -0500,384,25.472,14.809
405,25-06-21 15:00:00 -0500,369,28.539,13.867
406,25-06-21 15:05:00 -0500,354,23.821,16.985
407,25-06-21 15:10:00 -0500,339,22.856,17.606
408,25-06-21 15:15:00 -0500,324,25.644,15.657
409,25-06-21 15:20:00 -0500,309,25.043,16.713
410,25-06-21 15:25:00 -0500,293,24.893,16.513
411,25-06-21 15:30:00 -0500,277,25.279,16.312
412,25-06-21 15:35:00 -0500,261,24.614,15.051
413,25-06-21 15:40:00 -0500,246,25.708,15.756
414,25-06-21 15:45:00 -0500,231,26.652,14.163
415,25-06-21 15:50:00 -0500,214,25.665,14.997
416,25-06-21 15:55:00 -0500,198,25.558,15.438
417,25-06-21 16:00:00 -0500,183,26.48,14.342
418,25-06-21 16:05:00 -0500,168,23.757,16.564
419,25-06-21 16:10:00 -0500,153,25.858,14.447
420,25-06-21 16:15:00 -0500,139,24.743,15.29
421,25-06-21 16:20:00 -0500,124,25.73,15.515
422,25-06-21 16:25:00 -0500,107,23.735,16.434
423,25-06-21 16:30:00 -0500,87,26.137,15.674
424,25-06-21 16:35:00 -0500,68,21.526,18.059
425,25-06-21 16:40:00 -0500,51,20.732,18.755
426,25-06-21 16:45:00 -0500,36,20.303,19.004
427,25-06-21 16:50:00 -0500,22,23.885,16.408
428,25-06-21 16:55:00 -0500,14,20.239,18.967
429,25-06-21 17:00:00 -0500,12,17.73,24.561
430,25-06-21 17:05:00 -0500,12,14.362,28.414
431,25-06-21 17:10:00 -0500,9,11.874,32.845
432,25-06-21 17:15:00 -0500,8,10.63,34.934
433,25-06-21 17:20:00 -0500,6,9.537,38.616
434,25-06-21 17:25:00 -0500,3,9.022,39.426
435,25-06-21 17:30:00 -0500,2,8.85,39.573
436,25-06-21 17:35:00 -0500,1,8.464,40.25
437,25-06-21 17:40:00 -0500,1,8.014,42.026
438,25-06-21 17:45:00 -0500,1,7.928,41.299
439,25-06-21 17:50:00 -0500,1,8.207,40.171
440,25-06-21 17:55:00 -0500,1,5.998,46.567
441,25-06-21 18:00:00 -0500,1,4.861,49.799
442,25-06-21 18:05:00 -0500,1,4.11,51.772
443,25-06-21 18:10:00 -0500,1,3.917,52.015
444,25-06-21 18:15:00 -0500,1,4.003,52.395
445,25-06-21 18:20:00 -0500,1,4.496,50.036
446,25-06-21 18:25:00 -0500,1,4.089,50.605
447,25-06-21 18:30:00 -0500,1,3.36,52.198
448,25-06-21 18:35:00 -0500,1,3.81,51.771
449,25-06-21 18:40:00 -0500,1,4.389,50.353
450,25-06-21 18:45:00 -0500,1,4.925,48.992
451,25-06-21 18:50:00 -0500,1,4.003,55.453
452,25-06-21 18:55:00 -0500,1,4.646,53.777
453,25-06-21 19:00:00 -0500,1,4.925,50.851
454,25-06-21 19:05:00 -0500,1,6.384,42.387
455,25-06-21 19:10:00 -0500,1,5.075,46.403
456,25-06-21 19:15:00 -0500,1,3.66,49.401
457,25-06-21 19:20:00 -0500,1,6.062,38.752
458,25-06-21 19:25:00 -0500,1,4.217,43.508
459,25-06-21 19:30:00 -0500,1,5.075,38.204
460,25-06-21 19:35:00 -0500,1,4.797,44.498
461,25-06-21 19:40:00 -0500,1,3.381,42.379
462,25-06-21 19:45:00 -0500,1,5.14,35.305
463,25-06-21 19:50:00 -0500,1,4.754,35.241
464,25-06-21 19:55:00 -0500,1,5.247,34.983
465,25-06-21 20:00:00 -0500,1,4.239,37.6
466,25-06-21 20:05:00 -0500,1,4.282,37.145
467,25-06-21 20:10:00 -0500,1,2.845,39.902
468,25-06-21 20:15:00 -0500,1,3.467,39.58
469,25-06-21 20:20:00 -0500,1,4.41,37.888
470,25-06-21 20:25:00 -0500,1,2.673,41.082
471,25-06-21 20:30:00 -0500,1,2.866,41.196
472,25-06-21 20:35:00 -0500,1,1.15,46.896
473,25-06-21 20:40:00 -0500,1,0.314,49.395
474,25-06-21 20:45:00 -0500,1,0.764,48.663
475,25-06-21 20:50:00 -0500,1,1.322,46.905
476,25-06-21 20:55:00 -0500,1,1.215,46.204
477,25-06-21 21:00:00 -0500,1,1.215,45.661
478,25-06-21 21:05:00 -0500,1,1.343,46.658
479,25-06-21 21:10:00 -0500,1,1.236,46.851
480,25-06-21 21:15:00 -0500,1,0.614,48.284
481,25-06-21 21:20:00 -0500,1,0.764,48.811
482,25-06-21 21:25:00 -0500,1,1.408,45.925
483,25-06-21 21:30:00 -0500,1,1.451,46.055
484,25-06-21 21:35:00 -0500,1,1.579,46.012
485,25-06-21 21:40:00 -0500,1,1.451,46.856
486,25-06-21 21:45:00 -0500,1,2.394,43.688
487,25-06-21 21:50:00 -0500,1,2.094,44.182
488,25-06-21 21:55:00 -0500,1,0.636,48.298
489,25-06-21 22:00:00 -0500,1,1.322,46.732
490,25-06-21 22:05:00 -0500,1,1.644,45.638
491,25-06-21 22:10:00 -0500,1,0.357,49.941
492,25-06-21 22:15:00 -0500,1,0.25,49.58
493,25-06-21 22:20:00 -0500,1,0.4,49.749
494,25-06-21 22:25:00 -0500,1,0.85,49.108
